cidade,data,insolacao,precipitacao,temp_max,temp_media,temp_min,umidade,vento
João Pessoa,2021-03-16,7.1,0.6,31.6,NA,23.5,69,NA
João Pessoa,2021-03-17,8.8,0,NA,NA,25.5,76,NA
João Pessoa,2021-03-18,0.6,24.6,29,NA,20.8,87,NA
João Pessoa,2021-03-19,5.2,6,31.8,NA,20.6,78,NA
João Pessoa,2021-03-20,8.5,2.2,31.8,NA,22.1,73,NA
João Pessoa,2021-03-21,8.4,0,32,NA,22.3,74,NA
Campina Grande,2021-01-01,9.6,1.9,32,NA,NA,70.25,3.0866399999999996
Campina Grande,2021-01-02,10,0,32.4,NA,NA,69.5,3.2581200000000003
Campina Grande,2021-01-03,9.3,0,32,NA,NA,71.75,2.5721999999999996
Campina Grande,2021-01-04,9.2,0,31.7,NA,NA,71.25,3.60108
Campina Grande,2021-01-05,10.2,0,32.6,NA,NA,64,2.40072
Campina Grande,2021-01-06,9.9,0,32.2,NA,NA,66,2.9151599999999998
Campina Grande,2021-01-07,9,0,32,NA,NA,69.75,2.5721999999999996
Campina Grande,2021-01-08,8.7,0,31.6,NA,NA,69.25,2.9151599999999998
Campina Grande,2021-01-09,6.7,0.1,31.8,NA,NA,77.25,2.40072
Campina Grande,2021-01-10,4.8,0,31,NA,NA,75.75,2.5721999999999996
Campina Grande,2021-01-11,8.5,0,31.8,NA,NA,70.75,2.22924
Campina Grande,2021-01-12,4.5,0,30.1,NA,NA,72.25,3.4295999999999998
Campina Grande,2021-01-13,2.1,0,29.6,NA,NA,73.75,2.22924
Campina Grande,2021-01-14,5.3,0,30.8,NA,NA,71,2.9151599999999998
Campina Grande,2021-01-15,6.1,0,30.8,NA,NA,70.75,3.0866399999999996
Campina Grande,2021-01-16,8.8,0,32.6,NA,NA,67.5,3.4295999999999998
Campina Grande,2021-01-17,9.1,0,32,NA,NA,63.5,2.05776
Campina Grande,2021-01-18,8.6,0,31.7,NA,NA,69.75,4.287
Campina Grande,2021-01-19,7.1,0.8,30.2,NA,NA,74.25,2.9151599999999998
Campina Grande,2021-01-20,3.7,0,30.7,NA,NA,73.25,3.9440399999999998
Campina Grande,2021-01-21,6.6,0.7,30.6,NA,NA,73.25,2.9151599999999998
Campina Grande,2021-01-22,6.9,0,31.5,NA,NA,73.5,2.7436800000000003
Campina Grande,2021-01-23,5.4,0,30.1,NA,NA,71.75,3.60108
Campina Grande,2021-01-24,5.2,0,30.4,NA,NA,75.75,3.4295999999999998
Campina Grande,2021-01-25,7.3,0,32.2,NA,NA,66,NA
Campina Grande,2021-01-26,6.3,0,31.6,NA,NA,69,NA
Campina Grande,2021-01-27,3.4,0,31.6,NA,NA,78,NA
Campina Grande,2021-01-28,5.4,0,31.7,NA,NA,72,NA
Campina Grande,2021-01-29,NA,0,NA,NA,NA,NA,NA
Campina Grande,2021-01-30,9.1,0,31.4,NA,NA,69,NA
Campina Grande,2021-01-31,6,NA,30.6,NA,NA,70,NA
Campina Grande,2021-02-01,6.4,0,31,NA,NA,69,NA
Campina Grande,2021-02-02,6.8,0,31.6,NA,NA,68,NA
Campina Grande,2021-02-03,8.4,0,31.8,NA,NA,68,NA
Campina Grande,2021-02-04,9.1,0,32.2,NA,NA,67,NA
Campina Grande,2021-02-05,9.7,0,32.4,NA,NA,62,NA
Campina Grande,2021-02-06,9.1,0,33.4,NA,NA,66,NA
Campina Grande,2021-02-07,9.2,0,34.2,NA,NA,67,NA
Campina Grande,2021-02-08,9.2,0,33,NA,NA,67,NA
Campina Grande,2021-02-09,6.2,0,31.6,NA,NA,69,NA
Campina Grande,2021-02-10,6,0,32.8,NA,NA,67,NA
Campina Grande,2021-02-11,5.7,0,31.9,NA,NA,70,NA
Campina Grande,2021-02-12,8.4,0,32,NA,NA,68,NA
Campina Grande,2021-02-13,0.1,0,27.2,NA,NA,89,NA
Campina Grande,2021-02-14,10.7,2.4,32,NA,NA,74,NA
Campina Grande,2021-02-15,5.5,2,31.8,NA,NA,79,NA
Campina Grande,2021-02-16,5,1.7,31.2,NA,NA,77,NA
Campina Grande,2021-02-17,7,6,31.9,NA,NA,76,NA
Campina Grande,2021-02-18,7.9,0,32,NA,NA,69,NA
Campina Grande,2021-02-19,9.6,0,32.8,NA,NA,70,NA
Campina Grande,2021-02-20,6.7,0,32.8,NA,NA,72,NA
Campina Grande,2021-02-21,6.9,0,31.8,NA,NA,69,NA
Campina Grande,2021-02-22,10.5,0,32,NA,NA,64,NA
Campina Grande,2021-02-23,9,0,32.8,NA,NA,67,NA
Campina Grande,2021-02-24,8.6,0,32,NA,NA,70,NA
Campina Grande,2021-02-25,5.5,0,30.8,NA,NA,74,NA
Campina Grande,2021-02-26,0.7,0.6,24.8,NA,NA,90,NA
Campina Grande,2021-02-27,5,0,29,NA,NA,86,NA
Campina Grande,2021-02-28,7.5,NA,28.4,NA,NA,77,NA
Campina Grande,2021-03-01,1.3,1.8,26.8,NA,NA,93,NA
Campina Grande,2021-03-02,7.8,27.4,29.4,NA,NA,77,NA
Campina Grande,2021-03-03,9.2,0,29.7,NA,NA,75,NA
Campina Grande,2021-03-04,4.2,0,29.7,NA,NA,81,NA
Campina Grande,2021-03-05,7.1,4.6,30.2,NA,NA,76,NA
Campina Grande,2021-03-06,5.8,0,30.5,NA,NA,76,NA
Campina Grande,2021-03-07,8.7,0,31,NA,NA,74,NA
Campina Grande,2021-03-08,9.4,0,31.4,NA,NA,72,NA
Campina Grande,2021-03-09,10,0,31.2,NA,NA,72,NA
Campina Grande,2021-03-10,9.2,0,31.2,NA,NA,70,NA
Campina Grande,2021-03-11,8.5,0,31.2,NA,NA,70,NA
Campina Grande,2021-03-12,9.4,0,31,NA,NA,70,NA
Campina Grande,2021-03-13,8.6,0,31.4,NA,NA,72,NA
Campina Grande,2021-03-14,7.4,0,30.2,NA,NA,70,NA
Campina Grande,2021-03-15,5.8,0,31.5,NA,NA,72,NA
Campina Grande,2021-03-16,7.8,0,32.6,NA,NA,58,NA
Campina Grande,2021-03-17,10.4,6,32.4,NA,NA,64,NA
Campina Grande,2021-03-18,7.2,0,29.4,NA,NA,74,NA
Campina Grande,2021-03-19,4.3,0,29.9,NA,NA,75,NA
Campina Grande,2021-03-20,7.6,0,30.9,NA,NA,73,NA
Campina Grande,2021-03-21,3,0,29.4,NA,NA,80,NA
Patos,2021-01-01,NA,NA,NA,NA,NA,NA,NA
Patos,2021-01-02,NA,NA,NA,NA,NA,NA,NA
Patos,2021-01-03,NA,NA,NA,NA,NA,NA,NA
Patos,2021-01-04,NA,NA,NA,NA,NA,NA,NA
Patos,2021-01-05,NA,NA,NA,NA,NA,NA,NA
Patos,2021-01-06,NA,NA,NA,NA,NA,NA,NA
Patos,2021-01-07,NA,NA,NA,NA,NA,NA,NA
Patos,2021-01-08,NA,NA,NA,NA,NA,NA,NA
Patos,2021-01-09,NA,NA,NA,NA,NA,NA,NA
Patos,2021-01-10,NA,NA,NA,NA,NA,NA,NA
Patos,2021-01-11,NA,NA,NA,NA,NA,NA,NA
Patos,2021-01-12,NA,NA,NA,NA,NA,NA,NA
Patos,2021-01-13,NA,NA,NA,NA,NA,NA,NA
Patos,2021-01-14,NA,NA,NA,NA,NA,NA,NA
Patos,2021-01-15,NA,NA,NA,NA,NA,NA,NA
Patos,2021-01-16,NA,NA,NA,NA,NA,NA,NA
Patos,2021-01-17,NA,NA,NA,NA,NA,NA,NA
Patos,2021-01-18,NA,NA,NA,NA,NA,NA,NA
Patos,2021-01-19,NA,NA,NA,NA,NA,NA,NA
Patos,2021-01-20,NA,NA,NA,NA,NA,NA,NA
Patos,2021-01-21,NA,NA,NA,NA,NA,NA,NA
Patos,2021-01-22,NA,NA,NA,NA,NA,NA,NA
Patos,2021-01-23,NA,NA,NA,NA,NA,NA,NA
Patos,2021-01-24,NA,NA,NA,NA,NA,NA,NA
Patos,2021-01-25,NA,NA,NA,NA,NA,NA,NA
Patos,2021-01-26,NA,NA,NA,NA,NA,NA,NA
Patos,2021-01-27,NA,NA,NA,NA,NA,NA,NA
Patos,2021-01-28,NA,NA,NA,NA,NA,NA,NA
Patos,2021-01-29,NA,NA,NA,NA,NA,NA,NA
Patos,2021-01-30,NA,NA,NA,NA,NA,NA,NA
Patos,2021-01-31,NA,NA,NA,NA,NA,NA,NA
Patos,2021-02-01,NA,NA,NA,NA,NA,NA,NA
Patos,2021-02-02,NA,NA,NA,NA,NA,NA,NA
Patos,2021-02-03,NA,NA,NA,NA,NA,NA,NA
Patos,2021-02-04,NA,NA,NA,NA,NA,NA,NA
Patos,2021-02-05,NA,NA,NA,NA,NA,NA,NA
Patos,2021-02-06,NA,NA,NA,NA,NA,NA,NA
Patos,2021-02-07,NA,NA,NA,NA,NA,NA,NA
Patos,2021-02-08,NA,NA,NA,NA,NA,NA,NA
Patos,2021-02-09,NA,NA,NA,NA,NA,NA,NA
Patos,2021-02-10,NA,NA,NA,NA,NA,NA,NA
Patos,2021-02-11,NA,NA,NA,NA,NA,NA,NA
Patos,2021-02-12,NA,NA,NA,NA,NA,NA,NA
Patos,2021-02-13,NA,NA,NA,NA,NA,NA,NA
Patos,2021-02-14,NA,NA,NA,NA,NA,NA,NA
Patos,2021-02-15,NA,NA,NA,NA,NA,NA,NA
Patos,2021-02-16,NA,NA,NA,NA,NA,NA,NA
Patos,2021-02-17,NA,NA,NA,NA,NA,NA,NA
Patos,2021-02-18,NA,NA,NA,NA,NA,NA,NA
Patos,2021-02-19,NA,NA,NA,NA,NA,NA,NA
Patos,2021-02-20,NA,NA,NA,NA,NA,NA,NA
Patos,2021-02-21,NA,NA,NA,NA,NA,NA,NA
Patos,2021-02-22,NA,NA,NA,NA,NA,NA,NA
